method,path,code,size,latency
POST,"/doc/0","200",138,0.155
PUT,"/doc/1","200",265,11.933
POST,"/doc/2","200",138,1.190
PUT,"/doc/1","200",265,34.552
GET,"/doc/3","200",4047,0.394
GET,"/doc/4","200",795,0.080
PUT,"/doc/1","200",265,11.649
GET,"/doc/3","200",4047,0.351
GET,"/doc/4","200",795,0.068
PUT,"/doc/1","200",265,6.433
GET,"/doc/5","200",14654,0.677
POST,"/doc/0","200",138,3.176
PUT,"/doc/1","200",265,13.949
PUT,"/doc/1","200",265,7.963
GET,"/doc/3","200",4047,0.379
GET,"/doc/4","200",795,0.088
PUT,"/doc/1","200",267,48.784
POST,"/doc/6","200",163,45.713
PUT,"/doc/1","200",267,54.642
POST,"/doc/7","200",163,50.070
POST,"/doc/8","200",138,8.231
PUT,"/doc/1","200",265,22.934
PUT,"/doc/1","200",265,17.520
POST,"/doc/9","200",163,52.122
POST,"/doc/10","200",163,129.988
PUT,"/doc/1","200",265,55.790
PUT,"/doc/1","200",265,5.954
POST,"/doc/11","200",163,52.835
PUT,"/doc/1","200",265,27.103
PUT,"/doc/1","200",267,50.855
PUT,"/doc/1","200",267,57.621
PUT,"/doc/1","200",265,35.091
PUT,"/doc/1","200",265,17.555
POST,"/doc/12","200",163,38.661
POST,"/doc/2","200",138,4.053
POST,"/doc/13","200",163,43.343
PUT,"/doc/1","200",265,8.052
POST,"/doc/14","200",163,69.115
PUT,"/doc/1","200",265,14.998
PUT,"/doc/1","200",265,10.713
POST,"/doc/15","200",163,40.334
GET,"/doc/3","200",4047,0.445
GET,"/doc/4","200",795,0.076
GET,"/doc/3","200",4047,0.413
GET,"/doc/4","200",795,0.088
GET,"/doc/5","200",14654,0.687
GET,"/doc/3","200",4047,0.334
GET,"/doc/4","200",795,0.065
POST,"/doc/2","200",138,1.637
PUT,"/doc/1","200",265,6.694
POST,"/doc/2","200",138,3.342
GET,"/doc/16","404",59,0.072
GET,"/doc/16","404",59,0.093
PUT,"/doc/1","200",265,8.038
PUT,"/doc/1","200",265,3.054
PUT,"/doc/1","200",265,9.511
PUT,"/doc/1","200",265,7.446
POST,"/doc/0","200",138,3.686
POST,"/doc/17","200",138,11.146
POST,"/doc/0","200",138,2.935
POST,"/doc/2","200",138,4.975
POST,"/doc/2","200",138,2.730
POST,"/doc/0","200",138,2.687
POST,"/doc/0","200",138,0.102
PUT,"/doc/1","200",265,7.310
PUT,"/doc/1","200",265,7.419
PUT,"/doc/1","200",265,9.860
PUT,"/doc/1","200",265,7.087
PUT,"/doc/1","200",265,7.005
POST,"/doc/2","200",138,6.624
GET,"/doc/3","200",4047,0.364
GET,"/doc/4","200",795,0.071
PUT,"/doc/1","200",265,6.602
GET,"/doc/3","200",4047,0.332
GET,"/doc/4","200",795,0.070
GET,"/doc/5","200",14654,0.644
POST,"/doc/0","200",138,2.619
GET,"/doc/3","200",4047,0.348
GET,"/doc/4","200",795,0.066
POST,"/doc/0","200",138,0.108
POST,"/doc/0","200",138,2.049
PUT,"/doc/1","200",265,9.831
POST,"/doc/0","200",138,5.137
POST,"/doc/0","200",138,0.148
PUT,"/doc/1","200",265,7.067
PUT,"/doc/1","200",265,6.414
POST,"/doc/0","200",138,0.106
POST,"/doc/2","200",138,4.103
PUT,"/doc/1","200",265,10.475
POST,"/doc/2","200",138,2.909
PUT,"/doc/1","200",265,10.614
POST,"/doc/2","200",138,6.208
PUT,"/doc/1","200",265,6.708
PUT,"/doc/1","200",265,6.197
POST,"/doc/0","200",138,3.128
POST,"/doc/0","200",138,0.119
PUT,"/doc/1","200",265,5.735
POST,"/doc/0","200",138,5.358
PUT,"/doc/18","200",267,5.572
PUT,"/doc/1","200",265,17.580
POST,"/doc/2","200",163,13.186
POST,"/doc/19","200",163,12.975
POST,"/doc/0","200",138,2.276
POST,"/doc/2","200",138,5.932
GET,"/doc/20","200",205,76.254
GET,"/doc/21","200",4637,14.842
PUT,"/doc/1","200",265,14.618
PUT,"/doc/1","200",265,11.705
POST,"/doc/0","200",138,7.306
PUT,"/doc/18","200",269,10.235
PUT,"/doc/18","200",267,5.228
GET,"/doc/22","200",5742,12.715
POST,"/doc/23","200",164,28.647
POST,"/doc/24","200",164,33.925
GET,"/doc/25","200",9289,24.743
POST,"/doc/26","200",164,5.650
GET,"/doc/27","200",4637,42.202
GET,"/doc/28","200",6419,18.889
GET,"/doc/29","200",7607,25.853
GET,"/doc/30","200",4644,34.282
GET,"/doc/31","200",4785,10.170
GET,"/doc/32","200",5480,19.598
PUT,"/doc/1","200",265,3.042
POST,"/doc/33","200",164,5.245
GET,"/doc/34","200",4637,9.940
GET,"/doc/35","200",10515,8.987
GET,"/doc/36","200",5529,25.434
PUT,"/doc/18","200",269,27.770
PUT,"/doc/18","200",269,9.053
PUT,"/doc/18","200",271,221.036
POST,"/doc/37","200",165,260.799
PUT,"/doc/1","200",265,3.843
PUT,"/doc/38","200",267,15.530
GET,"/doc/39","200",5052,16.710
GET,"/doc/40","200",5528,30.816
POST,"/doc/41","200",166,34.454
GET,"/doc/42","200",5528,47.229
PUT,"/doc/1","200",265,6.067
PUT,"/doc/18","200",271,91.355
PUT,"/doc/38","200",267,59.453
POST,"/doc/43","200",165,58.139
PUT,"/doc/38","200",267,20.339
POST,"/doc/44","200",166,76.148
PUT,"/doc/18","200",269,26.591
POST,"/doc/45","200",165,10.730
PUT,"/doc/18","200",271,63.989
POST,"/doc/46","200",165,361.227
GET,"/doc/47","200",5528,465.757
POST,"/doc/48","200",165,477.516
PUT,"/doc/18","200",271,536.009
PUT,"/doc/1","200",265,536.515
PUT,"/doc/1","200",265,4.456
PUT,"/doc/1","200",265,134.468
PUT,"/doc/38","200",267,164.787
GET,"/doc/49","404",180,169.562
PUT,"/doc/18","200",271,266.593
POST,"/doc/50","200",165,273.567
POST,"/doc/51","200",166,395.709
POST,"/doc/52","200",166,435.629
PUT,"/doc/38","200",267,192.983
PUT,"/doc/38","200",267,62.752
PUT,"/doc/1","200",265,63.441
PUT,"/doc/18","200",271,202.282
GET,"/doc/53","200",5528,203.609
POST,"/doc/54","200",166,245.128
POST,"/doc/55","200",165,121.030
POST,"/doc/56","200",166,138.153
GET,"/doc/57","200",5528,658.454
GET,"/doc/58","200",5528,216.244
GET,"/doc/59","200",5528,694.617
PUT,"/doc/18","200",271,318.937
GET,"/doc/60","200",5528,364.762
POST,"/doc/61","200",165,47.839
GET,"/doc/58","200",5528,0.315
POST,"/doc/62","200",166,413.971
POST,"/doc/63","200",165,428.488
PUT,"/doc/18","200",267,390.299
POST,"/doc/64","200",165,388.543
PUT,"/doc/1","200",265,15.833
PUT,"/doc/38","200",267,47.834
POST,"/doc/65","200",166,362.409
PUT,"/doc/1","200",265,59.826
GET,"/doc/66","404",180,60.794
PUT,"/doc/38","200",265,3.914
PUT,"/doc/18","200",269,68.798
POST,"/doc/67","200",166,90.350
PUT,"/doc/38","200",265,7.551
POST,"/doc/68","200",166,31.278
