timestamp,233353/cpu`idle,233354/cpu`idle,233355/cpu`idle,233356/cpu`idle,233357/cpu`idle,233358/cpu`idle,233359/cpu`idle,233360/cpu`idle,233361/cpu`idle,233362/cpu`idle
1505692800,32475458,34290252,34195242,34247804,34257408,34227789,34199838,34213935,34195487,34211867
1505692860,32480816,34295576,34200518,34253329,34262616,34233305,34205056,34219124,34200998,34217397
1505692920,32486065,34300817,34205867,34258517,34268068,34238794,34210500,34224530,34206168,34222847
1505692980,32491619,34306322,34211374,34264004,34273587,34243941,34216016,34230043,34211638,34228064
1505693040,32497170,34311826,34216885,34269524,34279105,34249442,34221532,34235556,34217145,34233595
1505693100,32502723,34317333,34222395,34275049,34284629,34254957,34227047,34241068,34222657,34239118
1505693160,32508276,34322838,34227905,34280578,34290152,34260474,34232561,34246582,34228172,34244647
1505693220,32513827,34328345,34233417,34286106,34295675,34265992,34238076,34252094,34233687,34250172
1505693280,32519384,34333849,34238933,34291634,34301200,34271510,34243598,34257611,34239214,34255703
1505693340,32524939,34339356,34244454,34297166,34306715,34277029,34249125,34263130,34244729,34261235
1505693400,32530493,34344863,34249967,34302694,34312245,34282545,34254646,34268643,34250244,34266768
1505693460,32536043,34350366,34255469,34308223,34317766,34288061,34260165,34274154,34255755,34272299
1505693520,32541597,34355875,34260982,34313754,34323285,34293580,34265685,34279669,34261271,34277803
1505693580,32547151,34361374,34266492,34319280,34328798,34299092,34271200,34285181,34266782,34283328
1505693640,32552706,34366879,34272002,34324804,34334318,34304608,34276711,34290695,34272297,34288858
1505693700,32558249,34372375,34277517,34330329,34339843,34310114,34282228,34296205,34277814,34294390
1505693760,32563804,34377883,34283032,34335858,34345358,34315630,34287748,34301711,34283329,34299923
1505693820,32569357,34383393,34288545,34341388,34350873,34321148,34293266,34307228,34288844,34305455
1505693880,32574906,34388900,34294057,34346915,34356390,34326664,34298782,34312739,34294360,34310987
1505693940,32580460,34394407,34299569,34352442,34361908,34332182,34304298,34318252,34299874,34316520
1505694000,32586011,34399916,34305082,34357968,34367424,34337695,34309815,34323769,34305389,34322050
1505694060,32591563,34405422,34310595,34363495,34372950,34343208,34315335,34329279,34310903,34327580
1505694120,32597117,34410930,34316104,34369023,34378470,34348722,34320855,34334780,34316418,34333109
1505694180,32602673,34416440,34321616,34374551,34383997,34354240,34326376,34340292,34321933,34338638
1505694240,32608227,34421946,34327128,34380079,34389523,34359758,34331895,34345807,34327448,34344167
1505694300,32613778,34427456,34332640,34385605,34395042,34365273,34337416,34351319,34332958,34349699
1505694360,32619330,34432961,34338114,34391132,34400561,34370787,34342933,34356834,34338472,34355230
1505694420,32624882,34438475,34343627,34396660,34406083,34376302,34348452,34362348,34343986,34360760
1505694480,32630436,34443977,34349134,34402188,34411599,34381818,34353967,34367860,34349499,34366289
1505694540,32635993,34449488,34354648,34407718,34417127,34387336,34359486,34373373,34355018,34371821
1505694600,32641442,34454998,34360155,34413245,34422656,34392851,34364998,34378846,34360533,34377353
1505694660,32646628,34460471,34365668,34418474,34428183,34398366,34370515,34384001,34366048,34382880
