,171880/bpf`syscall`count`sys_accept,171880/bpf`syscall`count`sys_accept4,171880/bpf`syscall`count`sys_access,171880/bpf`syscall`count`sys_alarm,171880/bpf`syscall`count`sys_arch_prctl,171880/bpf`syscall`count`sys_bind,171880/bpf`syscall`count`sys_brk,171880/bpf`syscall`count`sys_capget,171880/bpf`syscall`count`sys_capset,171880/bpf`syscall`count`sys_chdir,171880/bpf`syscall`count`sys_chmod,171880/bpf`syscall`count`sys_chown,171880/bpf`syscall`count`sys_chroot,171880/bpf`syscall`count`sys_clock_adjtime,171880/bpf`syscall`count`sys_clock_getres,171880/bpf`syscall`count`sys_clock_gettime,171880/bpf`syscall`count`sys_clone,171880/bpf`syscall`count`sys_close,171880/bpf`syscall`count`sys_connect,171880/bpf`syscall`count`sys_dup,171880/bpf`syscall`count`sys_dup2,171880/bpf`syscall`count`sys_dup3,171880/bpf`syscall`count`sys_epoll_create,171880/bpf`syscall`count`sys_epoll_create1,171880/bpf`syscall`count`sys_epoll_ctl,171880/bpf`syscall`count`sys_epoll_wait,171880/bpf`syscall`count`sys_eventfd2,171880/bpf`syscall`count`sys_execve,171880/bpf`syscall`count`sys_faccessat,171880/bpf`syscall`count`sys_fadvise64,171880/bpf`syscall`count`sys_fchdir,171880/bpf`syscall`count`sys_fchmod,171880/bpf`syscall`count`sys_fchmodat,171880/bpf`syscall`count`sys_fchown,171880/bpf`syscall`count`sys_fcntl,171880/bpf`syscall`count`sys_fstatfs,171880/bpf`syscall`count`sys_fsync,171880/bpf`syscall`count`sys_ftruncate,171880/bpf`syscall`count`sys_futex,171880/bpf`syscall`count`sys_getcwd,171880/bpf`syscall`count`sys_getdents,171880/bpf`syscall`count`sys_getdents64,171880/bpf`syscall`count`sys_getegid,171880/bpf`syscall`count`sys_geteuid,171880/bpf`syscall`count`sys_getgid,171880/bpf`syscall`count`sys_getgroups,171880/bpf`syscall`count`sys_getpeername,171880/bpf`syscall`count`sys_getpgid,171880/bpf`syscall`count`sys_getpgrp,171880/bpf`syscall`count`sys_getpid,171880/bpf`syscall`count`sys_getppid,171880/bpf`syscall`count`sys_getpriority,171880/bpf`syscall`count`sys_getresgid,171880/bpf`syscall`count`sys_getresuid,171880/bpf`syscall`count`sys_getrlimit,171880/bpf`syscall`count`sys_getrusage,171880/bpf`syscall`count`sys_getsid,171880/bpf`syscall`count`sys_getsockname,171880/bpf`syscall`count`sys_getsockopt,171880/bpf`syscall`count`sys_gettid,171880/bpf`syscall`count`sys_gettimeofday,171880/bpf`syscall`count`sys_getuid,171880/bpf`syscall`count`sys_inotify_add_watch,171880/bpf`syscall`count`sys_ioctl,171880/bpf`syscall`count`sys_ioprio_get,171880/bpf`syscall`count`sys_kcmp,171880/bpf`syscall`count`sys_keyctl,171880/bpf`syscall`count`sys_kill,171880/bpf`syscall`count`sys_listen,171880/bpf`syscall`count`sys_lseek,171880/bpf`syscall`count`sys_madvise,171880/bpf`syscall`count`sys_mkdir,171880/bpf`syscall`count`sys_mknod,171880/bpf`syscall`count`sys_mmap,171880/bpf`syscall`count`sys_mount,171880/bpf`syscall`count`sys_mprotect,171880/bpf`syscall`count`sys_mremap,171880/bpf`syscall`count`sys_munmap,171880/bpf`syscall`count`sys_name_to_handle_at,171880/bpf`syscall`count`sys_nanosleep,171880/bpf`syscall`count`sys_newfstatat,171880/bpf`syscall`count`sys_open,171880/bpf`syscall`count`sys_openat,171880/bpf`syscall`count`sys_pause,171880/bpf`syscall`count`sys_perf_event_open,171880/bpf`syscall`count`sys_pipe,171880/bpf`syscall`count`sys_pipe2,171880/bpf`syscall`count`sys_poll,171880/bpf`syscall`count`sys_ppoll,171880/bpf`syscall`count`sys_prctl,171880/bpf`syscall`count`sys_pselect6,171880/bpf`syscall`count`sys_read,171880/bpf`syscall`count`sys_readlink,171880/bpf`syscall`count`sys_readlinkat,171880/bpf`syscall`count`sys_readv,171880/bpf`syscall`count`sys_recvfrom,171880/bpf`syscall`count`sys_recvmsg,171880/bpf`syscall`count`sys_rename,171880/bpf`syscall`count`sys_rmdir,171880/bpf`syscall`count`sys_rt_sigaction,171880/bpf`syscall`count`sys_rt_sigprocmask,171880/bpf`syscall`count`sys_rt_sigreturn,171880/bpf`syscall`count`sys_rt_sigsuspend,171880/bpf`syscall`count`sys_sched_getaffinity,171880/bpf`syscall`count`sys_sched_getparam,171880/bpf`syscall`count`sys_sched_getscheduler,171880/bpf`syscall`count`sys_sched_setaffinity,171880/bpf`syscall`count`sys_sched_yield,171880/bpf`syscall`count`sys_select,171880/bpf`syscall`count`sys_semctl,171880/bpf`syscall`count`sys_semop,171880/bpf`syscall`count`sys_sendmmsg,171880/bpf`syscall`count`sys_sendmsg,171880/bpf`syscall`count`sys_sendto,171880/bpf`syscall`count`sys_set_robust_list,171880/bpf`syscall`count`sys_set_tid_address,171880/bpf`syscall`count`sys_setfsgid,171880/bpf`syscall`count`sys_setfsuid,171880/bpf`syscall`count`sys_setgid,171880/bpf`syscall`count`sys_setgroups,171880/bpf`syscall`count`sys_setpgid,171880/bpf`syscall`count`sys_setpriority,171880/bpf`syscall`count`sys_setregid,171880/bpf`syscall`count`sys_setresgid,171880/bpf`syscall`count`sys_setresuid,171880/bpf`syscall`count`sys_setreuid,171880/bpf`syscall`count`sys_setrlimit,171880/bpf`syscall`count`sys_setsid,171880/bpf`syscall`count`sys_setsockopt,171880/bpf`syscall`count`sys_setuid,171880/bpf`syscall`count`sys_shutdown,171880/bpf`syscall`count`sys_sigaltstack,171880/bpf`syscall`count`sys_socket,171880/bpf`syscall`count`sys_socketpair,171880/bpf`syscall`count`sys_statfs,171880/bpf`syscall`count`sys_symlink,171880/bpf`syscall`count`sys_sysinfo,171880/bpf`syscall`count`sys_timerfd_settime,171880/bpf`syscall`count`sys_times,171880/bpf`syscall`count`sys_umask,171880/bpf`syscall`count`sys_umount,171880/bpf`syscall`count`sys_unlink,171880/bpf`syscall`count`sys_unlinkat,171880/bpf`syscall`count`sys_unshare,171880/bpf`syscall`count`sys_utime,171880/bpf`syscall`count`sys_utimensat,171880/bpf`syscall`count`sys_vfork,171880/bpf`syscall`count`sys_wait4,171880/bpf`syscall`count`sys_waitid,171880/bpf`syscall`count`sys_write,171880/bpf`syscall`count`sys_writev
1505692800,16108.0000,402.0000,5625332.0000,49068.0000,954672.0000,9329.0000,2787737.0000,,,120286.0000,117.0000,10.0000,2433.0000,173.0000,2558.0000,201165815.0000,367882.0000,463057503.0000,71463.0000,4138.0000,1029564.0000,4.0000,439.0000,16.0000,3960586.0000,6401582.0000,16.0000,964609.0000,6938.0000,50822.0000,64883.0000,198.0000,17.0000,15.0000,6150187.0000,6087.0000,2692.0000,10818.0000,2462421.0000,79538.0000,1053472.0000,2628.0000,750371.0000,1383803.0000,752328.0000,11683.0000,18216.0000,55.0000,23295.0000,452446.0000,452384.0000,2092.0000,54.0000,54.0000,287076.0000,6426.0000,17.0000,27873.0000,63708.0000,3898.0000,150733077.0000,775068.0000,276400.0000,4596199.0000,,238.0000,3.0000,923948.0000,,7427666.0000,3970.0000,1153.0000,15.0000,14992357.0000,1.0000,8152092.0000,59423.0000,1530855.0000,39.0000,428940.0000,49501.0000,247102719.0000,106937.0000,39.0000,33.0000,1411133.0000,46452.0000,3934929.0000,5683.0000,1861.0000,7851720.0000,3777569.0000,2544.0000,203659.0000,,68785465.0000,425216.0000,1784.0000,246.0000,9299498.0000,3225795.0000,352014.0000,79.0000,2082.0000,,,210495.0000,262848382.0000,411826.0000,5755.0000,48603.0000,1292.0000,89546.0000,61241532.0000,230129.0000,204377.0000,12.0000,12.0000,2771.0000,6869.0000,52.0000,316.0000,10.0000,4322.0000,4518.0000,3.0000,5361.0000,218575.0000,38865.0000,2771.0000,134.0000,11660.0000,82329.0000,137300.0000,422933.0000,91.0000,13902.0000,12010839.0000,86.0000,5264.0000,1.0000,2543.0000,172.0000,,1735.0000,341.0000,659328.0000,1847333.0000,19215.0000,12231793.0000,868159.0000
1505692860,16110.0000,402.0000,5625366.0000,49071.0000,954675.0000,9330.0000,2787744.0000,,,120286.0000,117.0000,10.0000,2433.0000,173.0000,2558.0000,201198887.0000,367891.0000,463059692.0000,71466.0000,4138.0000,1029567.0000,4.0000,439.0000,16.0000,3961218.0000,6401990.0000,16.0000,964612.0000,6938.0000,50822.0000,64883.0000,198.0000,17.0000,15.0000,6151016.0000,6088.0000,2692.0000,10819.0000,2462429.0000,79550.0000,1053522.0000,2628.0000,750373.0000,1383808.0000,752330.0000,11683.0000,18217.0000,55.0000,23295.0000,452448.0000,452386.0000,2092.0000,54.0000,54.0000,287076.0000,6427.0000,17.0000,27875.0000,63715.0000,3898.0000,150743047.0000,775070.0000,276445.0000,4596464.0000,,238.0000,3.0000,923948.0000,,7428263.0000,3970.0000,1153.0000,15.0000,14992444.0000,1.0000,8152104.0000,59430.0000,1530945.0000,39.0000,429007.0000,49509.0000,247103417.0000,106937.0000,39.0000,33.0000,1411338.0000,46459.0000,3935171.0000,5683.0000,1861.0000,7852848.0000,3777573.0000,2544.0000,203660.0000,,68786424.0000,425271.0000,1784.0000,246.0000,9299513.0000,3226002.0000,352022.0000,79.0000,2082.0000,,,210496.0000,262894181.0000,411904.0000,5755.0000,48603.0000,1292.0000,89554.0000,61241862.0000,230129.0000,204377.0000,12.0000,12.0000,2771.0000,6869.0000,52.0000,316.0000,10.0000,4322.0000,4518.0000,3.0000,5361.0000,218576.0000,38867.0000,2771.0000,134.0000,11660.0000,82332.0000,137322.0000,422933.0000,91.0000,13902.0000,12012701.0000,86.0000,5264.0000,1.0000,2543.0000,172.0000,,1735.0000,341.0000,659430.0000,1847578.0000,19218.0000,12232644.0000,868295.0000
1505692920,16112.0000,402.0000,5625391.0000,49074.0000,954675.0000,9331.0000,2787744.0000,,,120286.0000,117.0000,10.0000,2433.0000,173.0000,2558.0000,201231577.0000,367899.0000,463060865.0000,71469.0000,4138.0000,1029567.0000,4.0000,439.0000,16.0000,3961851.0000,6402439.0000,16.0000,964612.0000,6938.0000,50822.0000,64883.0000,198.0000,17.0000,15.0000,6151843.0000,6089.0000,2692.0000,10820.0000,2462439.0000,79562.0000,1053572.0000,2628.0000,750373.0000,1383809.0000,752330.0000,11683.0000,18218.0000,55.0000,23295.0000,452448.0000,452386.0000,2092.0000,54.0000,54.0000,287076.0000,6428.0000,17.0000,27877.0000,63725.0000,3898.0000,150753032.0000,775070.0000,276490.0000,4596728.0000,,238.0000,3.0000,923948.0000,,7428863.0000,3970.0000,1153.0000,15.0000,14992499.0000,1.0000,8152104.0000,59437.0000,1531024.0000,39.0000,429074.0000,49517.0000,247104111.0000,106937.0000,39.0000,33.0000,1411543.0000,46466.0000,3935413.0000,5683.0000,1861.0000,7854051.0000,3777577.0000,2544.0000,203661.0000,,68787388.0000,425328.0000,1784.0000,246.0000,9299514.0000,3226206.0000,352029.0000,79.0000,2082.0000,,,210496.0000,262936663.0000,411982.0000,5755.0000,48603.0000,1292.0000,89565.0000,61242194.0000,230129.0000,204377.0000,12.0000,12.0000,2771.0000,6869.0000,52.0000,316.0000,10.0000,4322.0000,4518.0000,3.0000,5361.0000,218576.0000,38874.0000,2771.0000,134.0000,11660.0000,82338.0000,137344.0000,422933.0000,91.0000,13902.0000,12014677.0000,86.0000,5264.0000,1.0000,2543.0000,172.0000,,1735.0000,341.0000,659532.0000,1847814.0000,19221.0000,12233561.0000,868431.0000
1505692980,16114.0000,402.0000,5625416.0000,49077.0000,954675.0000,9332.0000,2787744.0000,,,120286.0000,117.0000,10.0000,2433.0000,173.0000,2558.0000,201264550.0000,367907.0000,463062036.0000,71472.0000,4138.0000,1029567.0000,4.0000,439.0000,16.0000,3962484.0000,6402685.0000,16.0000,964612.0000,6938.0000,50822.0000,64883.0000,198.0000,17.0000,15.0000,6152674.0000,6090.0000,2692.0000,10821.0000,2462594.0000,79574.0000,1053622.0000,2628.0000,750373.0000,1383810.0000,752330.0000,11683.0000,18219.0000,55.0000,23295.0000,452448.0000,452386.0000,2092.0000,54.0000,54.0000,287076.0000,6429.0000,17.0000,27879.0000,63732.0000,3898.0000,150763017.0000,775070.0000,276535.0000,4596992.0000,,238.0000,3.0000,923948.0000,,7429463.0000,3972.0000,1153.0000,15.0000,14992547.0000,1.0000,8152104.0000,59444.0000,1531093.0000,39.0000,429141.0000,49525.0000,247104804.0000,106937.0000,39.0000,33.0000,1411750.0000,46473.0000,3935655.0000,5683.0000,1861.0000,7855313.0000,3777581.0000,2544.0000,203662.0000,,68788352.0000,425383.0000,1784.0000,246.0000,9299515.0000,3226412.0000,352037.0000,79.0000,2082.0000,,,210496.0000,262976155.0000,412060.0000,5755.0000,48603.0000,1292.0000,89573.0000,61242527.0000,230129.0000,204377.0000,12.0000,12.0000,2771.0000,6869.0000,52.0000,316.0000,10.0000,4322.0000,4518.0000,3.0000,5361.0000,218576.0000,38876.0000,2771.0000,134.0000,11660.0000,82341.0000,137366.0000,422933.0000,91.0000,13902.0000,12016707.0000,86.0000,5264.0000,1.0000,2543.0000,172.0000,,1735.0000,341.0000,659635.0000,1848067.0000,19224.0000,12234498.0000,868568.0000
1505693040,16116.0000,402.0000,5625463.0000,49080.0000,954679.0000,9333.0000,2787754.0000,,,120286.0000,117.0000,10.0000,2433.0000,173.0000,2558.0000,201297012.0000,367916.0000,463065499.0000,71475.0000,4138.0000,1029571.0000,4.0000,439.0000,16.0000,3963117.0000,6402930.0000,16.0000,964616.0000,6938.0000,50822.0000,64883.0000,198.0000,17.0000,15.0000,6153507.0000,6091.0000,2692.0000,10822.0000,2462804.0000,79586.0000,1053674.0000,2628.0000,750375.0000,1383816.0000,752332.0000,11683.0000,18220.0000,55.0000,23295.0000,452450.0000,452388.0000,2092.0000,54.0000,54.0000,287077.0000,6430.0000,17.0000,27881.0000,63742.0000,3898.0000,150772990.0000,775072.0000,276580.0000,4597261.0000,,238.0000,3.0000,923948.0000,,7430062.0000,3972.0000,1153.0000,15.0000,14992659.0000,1.0000,8152140.0000,59451.0000,1531174.0000,39.0000,429208.0000,49533.0000,247106785.0000,106937.0000,39.0000,33.0000,1411955.0000,46480.0000,3935897.0000,5683.0000,1861.0000,7856380.0000,3779492.0000,2544.0000,203663.0000,,68789313.0000,425441.0000,1784.0000,246.0000,9299554.0000,3226620.0000,352046.0000,79.0000,2082.0000,,,210497.0000,263012508.0000,412138.0000,5755.0000,48603.0000,1292.0000,89584.0000,61242859.0000,230130.0000,204378.0000,12.0000,12.0000,2771.0000,6869.0000,52.0000,316.0000,10.0000,4322.0000,4518.0000,3.0000,5361.0000,218577.0000,38883.0000,2771.0000,134.0000,11660.0000,82347.0000,137388.0000,422935.0000,91.0000,13902.0000,12018678.0000,86.0000,5264.0000,1.0000,2543.0000,172.0000,,1735.0000,341.0000,659737.0000,1848320.0000,19227.0000,12235408.0000,868704.0000
1505693100,16119.0000,402.0000,5625488.0000,49093.0000,954679.0000,9334.0000,2787754.0000,,,120286.0000,117.0000,10.0000,2433.0000,173.0000,2558.0000,201329971.0000,367925.0000,463066696.0000,71479.0000,4138.0000,1029571.0000,4.0000,439.0000,16.0000,3963744.0000,6403274.0000,16.0000,964616.0000,6938.0000,50822.0000,64883.0000,198.0000,17.0000,15.0000,6154334.0000,6092.0000,2692.0000,10824.0000,2463018.0000,79597.0000,1053754.0000,2628.0000,750375.0000,1383817.0000,752332.0000,11683.0000,18221.0000,55.0000,23295.0000,452450.0000,452388.0000,2092.0000,54.0000,54.0000,287077.0000,6431.0000,17.0000,27883.0000,63749.0000,3898.0000,150782969.0000,775072.0000,276625.0000,4597535.0000,,238.0000,3.0000,923948.0000,,7430662.0000,3972.0000,1153.0000,15.0000,14992713.0000,1.0000,8152140.0000,59458.0000,1531251.0000,39.0000,429276.0000,49541.0000,247107513.0000,106937.0000,39.0000,33.0000,1412158.0000,46487.0000,3936139.0000,5683.0000,1861.0000,7857662.0000,3780988.0000,2544.0000,203667.0000,,68790275.0000,425501.0000,1784.0000,246.0000,9299555.0000,3226822.0000,352055.0000,79.0000,2082.0000,,,210497.0000,263047479.0000,412216.0000,5755.0000,48603.0000,1292.0000,89595.0000,61243190.0000,230130.0000,204378.0000,12.0000,12.0000,2771.0000,6869.0000,52.0000,316.0000,10.0000,4322.0000,4518.0000,3.0000,5361.0000,218577.0000,38885.0000,2771.0000,134.0000,11660.0000,82351.0000,137410.0000,422935.0000,91.0000,13902.0000,12020658.0000,86.0000,5264.0000,1.0000,2543.0000,172.0000,,1735.0000,341.0000,659838.0000,1848574.0000,19230.0000,12236362.0000,868839.0000
1505693160,16122.0000,402.0000,5625513.0000,49096.0000,954679.0000,9335.0000,2787754.0000,,,120286.0000,117.0000,10.0000,2433.0000,173.0000,2558.0000,201362282.0000,367934.0000,463067886.0000,71482.0000,4138.0000,1029571.0000,4.0000,439.0000,16.0000,3964377.0000,6403744.0000,16.0000,964616.0000,6938.0000,50822.0000,64883.0000,198.0000,17.0000,15.0000,6155162.0000,6093.0000,2692.0000,10826.0000,2463138.0000,79609.0000,1053804.0000,2628.0000,750375.0000,1383818.0000,752332.0000,11683.0000,18222.0000,55.0000,23295.0000,452450.0000,452388.0000,2092.0000,54.0000,54.0000,287077.0000,6432.0000,17.0000,27885.0000,63758.0000,3898.0000,150792930.0000,775072.0000,276670.0000,4597802.0000,,238.0000,3.0000,923948.0000,,7431259.0000,3972.0000,1153.0000,15.0000,14992760.0000,1.0000,8152140.0000,59465.0000,1531321.0000,39.0000,429344.0000,49549.0000,247108231.0000,106937.0000,39.0000,33.0000,1412364.0000,46494.0000,3936380.0000,5683.0000,1861.0000,7858835.0000,3780992.0000,2544.0000,203671.0000,,68791236.0000,425565.0000,1784.0000,246.0000,9299557.0000,3227026.0000,352064.0000,79.0000,2082.0000,,,210497.0000,263084813.0000,412296.0000,5755.0000,48603.0000,1292.0000,89609.0000,61243521.0000,230130.0000,204378.0000,12.0000,12.0000,2771.0000,6869.0000,52.0000,316.0000,10.0000,4322.0000,4518.0000,3.0000,5361.0000,218577.0000,38891.0000,2771.0000,134.0000,11660.0000,82357.0000,137433.0000,422935.0000,91.0000,13902.0000,12022688.0000,86.0000,5264.0000,1.0000,2543.0000,172.0000,,1735.0000,341.0000,659940.0000,1848820.0000,19236.0000,12237272.0000,868975.0000
1505693220,16124.0000,402.0000,5625573.0000,49099.0000,954684.0000,9336.0000,2787767.0000,,,120286.0000,117.0000,10.0000,2433.0000,173.0000,2558.0000,201395290.0000,367944.0000,463072616.0000,71485.0000,4138.0000,1029576.0000,4.0000,439.0000,16.0000,3965014.0000,6404318.0000,16.0000,964621.0000,6938.0000,50822.0000,64883.0000,198.0000,17.0000,15.0000,6155991.0000,6094.0000,2692.0000,10827.0000,2463353.0000,79621.0000,1053858.0000,2628.0000,750377.0000,1383825.0000,752334.0000,11683.0000,18223.0000,55.0000,23295.0000,452452.0000,452390.0000,2092.0000,54.0000,54.0000,287079.0000,6433.0000,17.0000,27887.0000,63765.0000,3898.0000,150802915.0000,775074.0000,276715.0000,4598075.0000,,238.0000,3.0000,923948.0000,,7431863.0000,3978.0000,1153.0000,15.0000,14992914.0000,1.0000,8152200.0000,59472.0000,1531405.0000,39.0000,429411.0000,49557.0000,247111489.0000,106937.0000,39.0000,33.0000,1412569.0000,46501.0000,3936622.0000,5683.0000,1861.0000,7860301.0000,3780996.0000,2544.0000,203672.0000,,68792200.0000,425620.0000,1784.0000,246.0000,9299620.0000,3227235.0000,352073.0000,79.0000,2082.0000,,,210498.0000,263124187.0000,412374.0000,5755.0000,48603.0000,1292.0000,89617.0000,61243854.0000,230132.0000,204380.0000,12.0000,12.0000,2771.0000,6869.0000,52.0000,316.0000,10.0000,4322.0000,4518.0000,3.0000,5361.0000,218578.0000,38893.0000,2771.0000,134.0000,11660.0000,82360.0000,137455.0000,422939.0000,91.0000,13902.0000,12024648.0000,86.0000,5264.0000,1.0000,2543.0000,172.0000,,1735.0000,341.0000,660042.0000,1849074.0000,19239.0000,12238148.0000,869111.0000
1505693280,16126.0000,402.0000,5626561.0000,49104.0000,954856.0000,9338.0000,2788205.0000,,,120288.0000,117.0000,10.0000,2434.0000,173.0000,2558.0000,201427305.0000,367997.0000,463166776.0000,71495.0000,4140.0000,1029748.0000,4.0000,439.0000,16.0000,3965642.0000,6404871.0000,16.0000,964793.0000,6938.0000,50822.0000,64883.0000,198.0000,17.0000,15.0000,6156910.0000,6095.0000,2692.0000,10828.0000,2465785.0000,79636.0000,1053990.0000,2628.0000,750463.0000,1384041.0000,752421.0000,11683.0000,18230.0000,55.0000,23295.0000,452537.0000,452475.0000,2092.0000,54.0000,54.0000,287123.0000,6434.0000,17.0000,27895.0000,63776.0000,3898.0000,150812912.0000,775171.0000,276760.0000,4598540.0000,,238.0000,3.0000,923951.0000,,7432557.0000,3978.0000,1153.0000,15.0000,14995756.0000,1.0000,8153777.0000,59479.0000,1531652.0000,39.0000,429478.0000,49565.0000,247163880.0000,106937.0000,39.0000,33.0000,1412776.0000,46508.0000,3936865.0000,5683.0000,1861.0000,7861450.0000,3781000.0000,2544.0000,203673.0000,,68793164.0000,425680.0000,1784.0000,246.0000,9301206.0000,3227611.0000,352124.0000,79.0000,2082.0000,,,210539.0000,263163758.0000,412451.0000,5756.0000,48603.0000,1292.0000,89628.0000,61244193.0000,230179.0000,204424.0000,12.0000,12.0000,2772.0000,6872.0000,52.0000,316.0000,10.0000,4324.0000,4520.0000,3.0000,5361.0000,218621.0000,38901.0000,2772.0000,134.0000,11660.0000,82372.0000,137478.0000,423029.0000,91.0000,13902.0000,12026620.0000,86.0000,5266.0000,1.0000,2543.0000,172.0000,,1735.0000,341.0000,660144.0000,1849358.0000,19242.0000,12239103.0000,869247.0000
1505693340,16128.0000,402.0000,5629345.0000,49112.0000,955337.0000,9340.0000,2789624.0000,,,120292.0000,117.0000,10.0000,2435.0000,173.0000,2558.0000,201459958.0000,368188.0000,463397984.0000,71521.0000,4142.0000,1030280.0000,4.0000,439.0000,16.0000,3966275.0000,6405592.0000,16.0000,965279.0000,6940.0000,50850.0000,64885.0000,198.0000,17.0000,15.0000,6158042.0000,6096.0000,2692.0000,10831.0000,2466902.0000,79653.0000,1054297.0000,2628.0000,750840.0000,1384735.0000,752799.0000,11689.0000,18237.0000,55.0000,23307.0000,452761.0000,452699.0000,2093.0000,54.0000,54.0000,287272.0000,6435.0000,17.0000,27904.0000,63788.0000,3900.0000,150822927.0000,775563.0000,276805.0000,4599380.0000,,238.0000,3.0000,923958.0000,,7433490.0000,3981.0000,1153.0000,15.0000,15003418.0000,1.0000,8158026.0000,59491.0000,1532282.0000,39.0000,429546.0000,49579.0000,247290276.0000,106941.0000,39.0000,33.0000,1413045.0000,46515.0000,3937107.0000,5684.0000,1861.0000,7862872.0000,3781004.0000,2546.0000,203677.0000,,68794136.0000,425752.0000,1784.0000,246.0000,9305773.0000,3228665.0000,352304.0000,79.0000,2085.0000,,,210642.0000,263204266.0000,412529.0000,5759.0000,48603.0000,1292.0000,89642.0000,61244550.0000,230307.0000,204538.0000,12.0000,12.0000,2774.0000,6876.0000,52.0000,317.0000,10.0000,4326.0000,4522.0000,3.0000,5377.0000,218729.0000,38908.0000,2774.0000,134.0000,11666.0000,82402.0000,137501.0000,423253.0000,91.0000,13913.0000,12028618.0000,86.0000,5269.0000,1.0000,2544.0000,172.0000,,1735.0000,341.0000,660247.0000,1849798.0000,19245.0000,12240447.0000,869384.0000
