time,rate
1428939600,47.3098
1428939900,46.5567
1428940200,46.0398
1428940500,45.1303
1428940800,44.9900
1428941100,43.2499
1428941400,43.3661
1428941700,43.4239
1428942000,44.7933
1428942300,45.4667
1428942600,43.8499
1428942900,44.2370
1428943200,45.2762
1428943500,43.8309
1428943800,45.2500
1428944100,44.9230
1428944400,42.1996
1428944700,42.3836
1428945000,42.0131
1428945300,41.9129
1428945600,41.2206
1428945900,39.0900
1428946200,38.5197
1428946500,39.9469
1428946800,40.0233
1428947100,40.4867
1428947400,40.7971
1428947700,38.3928
1428948000,37.4070
1428948300,38.6296
1428948600,37.9600
1428948900,39.8304
1428949200,39.1259
1428949500,38.5840
1428949800,38.3932
1428950100,38.5299
1428950400,37.1532
1428950700,38.1269
1428951000,39.1931
1428951300,39.6269
1428951600,50.2870
1428951900,50.7028
1428952200,48.8863
1428952500,49.1375
1428952800,44.6894
1428953100,41.4689
1428953400,44.0149
1428953700,42.2469
1428954000,40.1731
1428954300,40.1533
1428954600,40.8163
1428954900,40.6871
1428955200,39.1997
1428955500,41.0703
1428955800,40.4064
1428956100,40.8436
1428956400,41.4332
1428956700,39.2732
1428957000,37.5565
1428957300,38.9801
1428957600,37.6767
1428957900,37.1235
1428958200,35.1301
1428958500,35.1700
1428958800,34.5999
1428959100,33.5033
1428959400,33.5329
1428959700,34.2745
1428960000,35.1492
1428960300,34.5669
1428960600,33.9198
1428960900,32.6107
1428961200,33.8460
1428961500,31.2835
1428961800,32.0801
1428962100,32.0596
1428962400,30.7570
1428962700,29.1500
1428963000,30.0961
1428963300,29.9939
1428963600,30.3167
1428963900,31.1133
1428964200,29.7201
1428964500,30.7571
1428964800,29.8929
1428965100,29.8733
1428965400,29.7330
1428965700,32.3001
1428966000,31.4134
1428966300,30.4061
1428966600,32.4010
1428966900,33.3962
1428967200,34.1336
1428967500,34.0566
1428967800,34.1731
1428968100,34.0900
1428968400,34.0601
1428968700,35.0499
1428969000,35.7602
1428969300,36.8531
1428969600,35.2535
1428969900,34.4367
1428970200,36.8735
1428970500,39.6527
1428970800,40.2448
1428971100,38.7950
1428971400,40.1669
1428971700,39.6340
1428972000,40.6296
1428972300,40.9339
1428972600,40.5499
1428972900,38.7332
1428973200,37.0565
1428973500,37.6702
1428973800,38.5765
1428974100,38.9664
1428974400,37.9269
1428974700,35.3433
1428975000,36.4033
1428975300,35.8433
1428975600,35.2137
1428975900,36.0826
1428976200,35.5638
1428976500,36.0868
1428976800,35.4862
1428977100,36.0969
1428977400,34.6568
1428977700,34.2501
1428978000,35.0065
1428978300,32.8699
1428978600,33.5866
1428978900,31.6634
1428979200,34.4363
1428979500,33.9545
1428979800,33.0721
1428980100,32.1479
1428980400,33.3424
1428980700,32.8037
1428981000,33.2598
1428981300,33.6569
1428981600,33.7831
1428981900,32.1234
1428982200,31.6368
1428982500,31.8598
1428982800,32.0932
1428983100,31.6200
1428983400,32.2332
1428983700,31.2170
1428984000,31.4600
1428984300,29.9867
1428984600,28.5670
1428984900,29.3421
1428985200,27.4076
1428985500,27.2199
1428985800,27.3405
1428986100,27.9633
1428986400,27.8562
1428986700,26.3068
1428987000,27.9350
1428987300,24.8299
1428987600,26.7733
1428987900,25.1367
1428988200,25.3600
1428988500,26.3933
1428988800,26.7267
1428989100,27.3032
1428989400,25.8432
1428989700,24.8934
1428990000,25.8800
1428990300,26.5502
1428990600,25.5798
1428990900,25.1835
1428991200,24.9303
1428991500,25.2958
1428991800,26.0904
1428992100,26.2499
1428992400,26.2600
1428992700,25.1000
1428993000,24.5133
1428993300,25.4400
1428993600,24.4928
1428993900,24.7007
1428994200,23.8999
1428994500,24.9635
1428994800,23.9398
1428995100,24.6500
1428995400,24.7467
1428995700,25.0000
1428996000,26.5300
1428996300,26.0034
1428996600,23.8832
1428996900,18.6601
1428997200,17.6299
1428997500,16.9599
1428997800,20.3834
1428998100,22.0534
1428998400,22.6300
1428998700,23.8239
1428999000,24.1728
1428999300,24.6199
1428999600,23.3567
1428999900,22.8199
1429000200,23.6101
1429000500,23.6266
1429000800,24.1801
1429001100,23.5467
1429001400,23.5333
1429001700,23.4067
1429002000,22.9099
1429002300,22.4239
1429002600,23.3296
1429002900,23.2667
1429003200,23.8371
1429003500,22.6531
1429003800,23.8800
1429004100,24.7063
1429004400,22.2267
1429004700,23.5234
1429005000,23.7737
1429005300,23.1534
1429005600,23.9697
1429005900,24.8234
1429006200,24.2831
1429006500,23.5505
